,precision,recall,f1-score,support
read_file,0.5451807228915663,0.586709886547812,0.565183450429352,1851.0
grep_search,0.6395911780527165,0.599899091826438,0.6191096068732101,1982.0
list_directory,0.439647577092511,0.5762124711316398,0.4987506246876562,866.0
glob_pattern,0.765625,0.5562913907284768,0.6443835616438356,1057.0
edit_file,0.9164113785557987,0.9369127516778524,0.9265486725663716,2235.0
write_file,0.9768211920529801,0.9966216216216216,0.9866220735785953,296.0
apply_patch,0.8540305010893247,0.8124352331606217,0.8327137546468402,965.0
run_bash,0.7814702920443102,0.7660414610069102,0.773678963110668,1013.0
run_tests,0.7425025853154085,0.7864184008762322,0.7638297872340426,913.0
lint_or_typecheck,0.5919811320754716,0.5492341356673961,0.5698070374574348,457.0
ask_user,0.6533066132264529,0.6037037037037037,0.6275264677574591,540.0
plan_task,0.6630630630630631,0.6878504672897197,0.6752293577981652,535.0
web_search,0.6203007518796992,0.6470588235294118,0.6333973128598849,255.0
respond_only,0.9980732177263969,1.0,0.9990356798457087,1036.0
accuracy,0.7267338047282337,0.7267338047282337,0.7267338047282337,0.7267338047282337
macro avg,0.7277146575046929,0.7218135313405595,0.7225583107492302,14001.0
weighted avg,0.7333784798209568,0.7267338047282337,0.7278659340767152,14001.0
