,pred_read_file,pred_grep_search,pred_list_directory,pred_glob_pattern,pred_edit_file,pred_write_file,pred_apply_patch,pred_run_bash,pred_run_tests,pred_lint_or_typecheck,pred_ask_user,pred_plan_task,pred_web_search,pred_respond_only
true_read_file,1086,404,271,74,2,1,1,4,1,3,0,2,1,1
true_grep_search,485,1189,228,71,2,1,1,1,2,2,0,0,0,0
true_list_directory,225,112,499,30,0,0,0,0,0,0,0,0,0,0
true_glob_pattern,184,147,134,588,0,0,0,2,2,0,0,0,0,0
true_edit_file,1,0,1,1,2094,3,130,1,0,1,1,0,1,1
true_write_file,0,0,0,0,0,295,1,0,0,0,0,0,0,0
true_apply_patch,0,0,0,0,180,0,784,0,0,1,0,0,0,0
true_run_bash,3,2,2,1,3,1,0,776,142,83,0,0,0,0
true_run_tests,2,1,0,2,1,0,0,106,718,83,0,0,0,0
true_lint_or_typecheck,0,1,0,0,0,0,0,103,102,251,0,0,0,0
true_ask_user,3,3,0,0,3,0,0,0,0,0,326,151,54,0
true_plan_task,2,0,0,0,0,1,1,0,0,0,118,368,45,0
true_web_search,1,0,0,1,0,0,0,0,0,0,54,34,165,0
true_respond_only,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
