feature,value,samples,accuracy,mean_confidence
has_file_path,False,12602,0.7305983177273448,0.7538517563187155
has_file_path,True,1399,0.6919228020014296,0.7194371618825763
has_find_word,False,12231,0.7450739923146105,0.7628827740249216
has_find_word,True,1770,0.6,0.6642447533917293
has_lint_word,False,13104,0.7284798534798534,0.7504300047485419
has_lint_word,True,897,0.7012263099219621,0.7501645935086768
has_list_word,False,13354,0.7306425041186162,0.7530879525455758
has_list_word,True,647,0.6460587326120556,0.6952023250518663
has_open_word,False,11002,0.7463188511179786,0.7640189890606016
has_open_word,True,2999,0.6548849616538847,0.7004986678751042
has_plan_word,False,12807,0.7196064652143359,0.7457736785377208
has_plan_word,True,1194,0.8031825795644891,0.8001749761889329
has_test_word,False,12646,0.7273446148979915,0.7505844355232821
has_test_word,True,1355,0.7210332103321033,0.7488130265496313
has_web_word,False,13364,0.7318168213109847,0.7531774523563458
has_web_word,True,637,0.6200941915227629,0.6924159329858268
language_pref,ko,8827,0.7328650730712586,0.7541384717251823
language_pref,en,3676,0.7170837867247007,0.7424350217211753
language_pref,mixed,1498,0.7142857142857143,0.7480380459525716
last_action,edit_file,2128,0.7608082706766918,0.778363704639382
last_action,grep_search,1895,0.7746701846965699,0.7814311683177948
last_action,none,1792,0.6127232142857143,0.6781546790818018
last_action,read_file,1765,0.798300283286119,0.7889667503219151
last_action,glob_pattern,978,0.6932515337423313,0.733748319568322
last_action,run_bash,947,0.7423442449841605,0.7708029688159919
last_action,apply_patch,899,0.7719688542825361,0.7766592408446502
last_action,list_directory,848,0.5542452830188679,0.641488490063908
last_action,run_tests,844,0.7914691943127962,0.7900638783359415
last_action,plan_task,519,0.6608863198458574,0.6968279693397713
last_action,ask_user,446,0.7085201793721974,0.7134651762220358
last_action,lint_or_typecheck,404,0.693069306930693,0.7319216254619089
last_action,write_file,300,0.8266666666666667,0.8461727465192477
last_action,web_search,236,0.7669491525423728,0.7440952211618423
last_ci_status,passed,5732,0.7363921842288904,0.7585925550485356
last_ci_status,failed,4518,0.7237715803452855,0.7438316062165341
last_ci_status,none,3751,0.7155425219941349,0.745840762510709
second_last_action,none,3558,0.6396852164137156,0.7017635592186698
second_last_action,edit_file,1765,0.7711048158640227,0.7690658910416341
second_last_action,grep_search,1674,0.8088410991636799,0.8116907657367781
second_last_action,read_file,1565,0.8204472843450479,0.808364331227141
second_last_action,glob_pattern,838,0.6217183770883055,0.6914947360113868
second_last_action,run_bash,824,0.7524271844660194,0.7650118435470803
second_last_action,list_directory,805,0.7677018633540372,0.7774881707215161
second_last_action,apply_patch,661,0.7473524962178517,0.7636224426858905
second_last_action,run_tests,637,0.7755102040816326,0.786030151733611
second_last_action,plan_task,489,0.6584867075664622,0.6847645687910676
second_last_action,ask_user,393,0.6412213740458015,0.6889814194528808
second_last_action,lint_or_typecheck,323,0.7337461300309598,0.7422775831015855
second_last_action,write_file,283,0.7667844522968198,0.7697197806498187
second_last_action,web_search,186,0.6720430107526881,0.6667417483304137
source,sim,12927,0.7285526417575617,0.7518068184070229
source,au,1074,0.7048417132216015,0.7336365745387263
top_language,py,5555,0.7207920792079208,0.7453665475765936
top_language,rs,1478,0.7395128552097429,0.7540329005544014
top_language,java,1370,0.7299270072992701,0.7542421161910914
top_language,vue,1311,0.7254004576659039,0.7547479112988479
top_language,tsx,1198,0.7303839732888147,0.7441347436186467
top_language,ts,1176,0.7227891156462585,0.7472864752318583
top_language,yaml,969,0.7420020639834881,0.7655712443916175
top_language,go,944,0.7235169491525424,0.7591669060984405
user_tier,pro,7559,0.730916787934912,0.7512430527969113
user_tier,free,4058,0.7230162641695417,0.748226315084204
user_tier,enterprise,2384,0.7197986577181208,0.7515032717695572
