keys,min_train_confidence,max_qwen_explore_margin,changed_samples,macro_f1
last_action+step,0.5,0.1,134,0.7798443330728405
last_action+step,0.45,0.1,177,0.7796116648860288
last_action+step,0.5,0.15,172,0.7795331570879132
last2,0.7,1.0,20,0.7794595366438115
last2,0.65,0.3,20,0.7794595366438115
last2,0.65,1.0,20,0.7794595366438115
last2,0.7,0.3,20,0.7794595366438115
last_action+step,0.55,0.1,72,0.779456148862737
second_last_action,0.65,1.0,177,0.7794409551559353
last_action+step,0.5,0.05,80,0.7794408917703886
last2,0.45,0.05,135,0.7794332550339368
last2,0.75,0.15,11,0.7794302454602189
last2,0.65,0.15,16,0.7794287618426508
last2,0.7,0.15,16,0.7794287618426508
second_last_action,0.65,0.3,175,0.7794267251406476
last2,0.75,0.3,14,0.7794167421058246
last2,0.75,1.0,14,0.7794167421058246
last2,0.5,0.3,228,0.7793741423327053
last2,0.75,0.2,13,0.7793637947486146
last2,0.7,0.2,18,0.7793623111310465
last2,0.65,0.2,18,0.7793623111310465
last2,0.7,0.05,8,0.7793305224270818
last2,0.65,0.05,8,0.7793305224270818
last2,0.65,0.1,12,0.7793228157906328
last2,0.7,0.1,12,0.7793228157906328
last_action+step,0.45,0.15,217,0.7793163349424227
last2,0.5,0.2,209,0.7793114585526296
last2,0.5,0.15,196,0.7793099466872876
second_last_action,0.55,0.05,101,0.7793062453944588
last_action+step,0.55,0.05,49,0.7793024527421802
last2,0.5,1.0,231,0.7792980475510743
second_last_action,0.6,1.0,195,0.7792974874133106
last2,0.5,0.05,85,0.7792907247087886
last2,0.75,0.1,8,0.7792854961564737
last_action+step,0.5,0.2,182,0.7792848906204062
second_last_action,0.6,0.3,192,0.7792773313594547
second_last_action,0.55,0.1,168,0.7792722646477781
second_last_action,0.65,0.2,167,0.7792645560540963
last_action+open_file_count,0.55,0.15,75,0.7792608630241791
last_action+open_file_count,0.55,0.1,58,0.7792562345841415
last_action+step,0.45,0.05,108,0.7792556455185152
last2,0.75,0.05,5,0.7792544551879254
last_action+step,0.55,0.15,89,0.779252155380245
last_action+open_file_count,0.55,0.2,76,0.7792220121764443
last_action+step,0.65,0.2,19,0.7792080457450512
last_action+step,0.65,0.15,18,0.7792041282810079
last2,0.5,0.1,153,0.7792006381887759
second_last_action,0.75,0.15,1,0.7791880960898264
second_last_action,0.8,1.0,1,0.7791880960898264
second_last_action,0.8,0.2,1,0.7791880960898264
second_last_action,0.8,0.1,1,0.7791880960898264
second_last_action,0.75,1.0,1,0.7791880960898264
second_last_action,0.7,1.0,1,0.7791880960898264
second_last_action,0.7,0.3,1,0.7791880960898264
second_last_action,0.7,0.2,1,0.7791880960898264
second_last_action,0.8,0.3,1,0.7791880960898264
second_last_action,0.8,0.15,1,0.7791880960898264
second_last_action,0.75,0.2,1,0.7791880960898264
second_last_action,0.7,0.15,1,0.7791880960898264
second_last_action,0.75,0.1,1,0.7791880960898264
second_last_action,0.75,0.3,1,0.7791880960898264
second_last_action,0.7,0.1,1,0.7791880960898264
last_action+step,0.45,0.2,232,0.7791856477458546
last_action+step,0.7,0.2,15,0.77918422145073
second_last_action,0.5,0.05,105,0.7791841143752912
second_last_action,0.45,0.05,105,0.7791841143752912
second_last_action,0.65,0.15,164,0.7791841087772597
last_action+step,0.7,0.15,14,0.7791803072033632
last_action+step,0.55,0.2,93,0.7791771496395273
last_action+step,0.65,0.3,20,0.7791693414408873
last2,0.8,0.15,5,0.779168850016695
last_action+step,0.7,0.05,7,0.7791653088220658
last2,0.8,0.2,6,0.7791632671980044
last2,0.8,0.3,6,0.7791632671980044
last2,0.8,1.0,6,0.7791632671980044
last_action+step,0.65,0.1,16,0.7791528874655727
last_action+step,0.7,0.3,16,0.7791455443716624
last_action+open_file_count,0.5,0.1,65,0.7791436724483621
last_action+open_file_count,0.85,0.05,0,0.779135114277816
last_action+open_file_count,0.85,0.1,0,0.779135114277816
last_action+open_file_count,0.85,0.15,0,0.779135114277816
last_action+open_file_count,0.85,0.2,0,0.779135114277816
last_action+open_file_count,0.85,1.0,0,0.779135114277816
last_action+open_file_count,0.85,0.3,0,0.779135114277816
second_last_action,0.7,0.05,0,0.779135114277816
second_last_action,0.85,0.3,0,0.779135114277816
second_last_action,0.85,0.15,0,0.779135114277816
second_last_action,0.85,0.2,0,0.779135114277816
second_last_action,0.85,0.1,0,0.779135114277816
second_last_action,0.85,0.05,0,0.779135114277816
second_last_action,0.8,0.05,0,0.779135114277816
second_last_action,0.75,0.05,0,0.779135114277816
second_last_action,0.85,1.0,0,0.779135114277816
last_action+step,0.7,0.1,12,0.7791290607932727
second_last_action,0.65,0.05,78,0.7791287826639104
last_action+step,0.65,0.05,10,0.7791268480389052
last2,0.85,0.15,2,0.7791256522390402
last2,0.8,0.05,2,0.7791236465989956
last2,0.85,0.3,3,0.7791200715420705
last2,0.85,0.2,3,0.7791200715420705
last2,0.85,1.0,3,0.7791200715420705
last2,0.6,1.0,113,0.7791184873540262
last2,0.6,0.3,113,0.7791184873540262
last2,0.8,0.1,4,0.7791158602496682
last_action+open_file_count,0.55,0.05,42,0.7791148791147167
second_last_action,0.55,0.2,234,0.7791142790983907
last_action+step,0.6,0.1,27,0.7791112590123935
second_last_action,0.55,0.15,218,0.7791070826548493
last_action+open_file_count,0.5,0.15,85,0.7791066747439521
last_action+step,0.6,0.2,31,0.7791059209188046
second_last_action,0.6,0.05,87,0.7791036535578798
second_last_action,0.6,0.2,182,0.7791033018104775
last_action+step,0.6,0.15,30,0.779101975171547
last_action+open_file_count,0.75,0.2,3,0.7790930295461761
last_action+open_file_count,0.8,0.15,3,0.7790930295461761
last_action+open_file_count,0.65,0.05,3,0.7790930295461761
last_action+open_file_count,0.7,0.05,3,0.7790930295461761
