level,label,samples,conflict_samples,conflict_sample_ratio,minority_in_group_samples,minority_in_group_ratio
raw_prompt,read_file,9257,736,0.07950739980555256,96,0.010370530409419898
raw_prompt,grep_search,9912,799,0.0806093623890234,350,0.03531073446327684
raw_prompt,list_directory,4329,410,0.09471009471009471,323,0.0746130746130746
raw_prompt,glob_pattern,5284,464,0.08781226343679031,378,0.07153671461014383
raw_prompt,edit_file,11171,430,0.038492525288693936,27,0.002416972518127294
raw_prompt,write_file,1481,0,0.0,0,0.0
raw_prompt,apply_patch,4823,350,0.07256894049346879,293,0.06075057018453245
raw_prompt,run_bash,5068,603,0.11898184688239936,59,0.011641673243883188
raw_prompt,run_tests,4561,551,0.12080684060513046,336,0.07366805525104143
raw_prompt,lint_or_typecheck,2283,337,0.14761279018834866,288,0.12614980289093297
raw_prompt,ask_user,2701,472,0.17475009255831173,49,0.01814142910033321
raw_prompt,plan_task,2679,412,0.1537887271369914,230,0.085852930197835
raw_prompt,web_search,1273,236,0.18538884524744698,204,0.16025137470542028
raw_prompt,respond_only,5178,0,0.0,0,0.0
normalized_template,read_file,9257,914,0.09873609160635195,112,0.012098952144323214
normalized_template,grep_search,9912,980,0.09887005649717515,435,0.043886198547215496
normalized_template,list_directory,4329,505,0.11665511665511666,396,0.09147609147609148
normalized_template,glob_pattern,5284,578,0.10938682816048448,474,0.08970476911430735
normalized_template,edit_file,11171,459,0.041088532808164,27,0.002416972518127294
normalized_template,write_file,1481,0,0.0,0,0.0
normalized_template,apply_patch,4823,372,0.07713041675305826,315,0.06531204644412192
normalized_template,run_bash,5068,614,0.12115232833464877,60,0.011838989739542225
normalized_template,run_tests,4561,565,0.12387634290725719,341,0.07476430607322955
normalized_template,lint_or_typecheck,2283,348,0.15243101182654403,299,0.13096802452912834
normalized_template,ask_user,2701,484,0.17919289152165865,50,0.018511662347278787
normalized_template,plan_task,2679,421,0.15714818962299365,234,0.08734602463605823
normalized_template,web_search,1273,245,0.192458758837392,213,0.16732128829536527
normalized_template,respond_only,5178,0,0.0,0,0.0
template_last_action,read_file,9257,120,0.012963163011774873,4,0.0004321054337258291
template_last_action,grep_search,9912,123,0.012409200968523002,51,0.005145278450363196
template_last_action,list_directory,4329,82,0.018942018942018943,62,0.014322014322014322
template_last_action,glob_pattern,5284,92,0.0174110522331567,88,0.016654049962149888
template_last_action,edit_file,11171,55,0.004923462536925969,3,0.00026855250201414377
template_last_action,write_file,1481,0,0.0,0,0.0
template_last_action,apply_patch,4823,50,0.01036699149906697,44,0.009122952519178934
template_last_action,run_bash,5068,77,0.015193370165745856,5,0.0009865824782951855
template_last_action,run_tests,4561,115,0.025213768910326683,53,0.011620258715194036
template_last_action,lint_or_typecheck,2283,76,0.033289531318440646,72,0.03153745072273324
template_last_action,ask_user,2701,95,0.03517215845982969,5,0.0018511662347278786
template_last_action,plan_task,2679,90,0.0335946248600224,60,0.022396416573348264
template_last_action,web_search,1273,42,0.032992930086410056,42,0.032992930086410056
template_last_action,respond_only,5178,0,0.0,0,0.0
template_action_context,read_file,9257,45,0.004861186129415577,3,0.0003240790752943718
template_action_context,grep_search,9912,36,0.0036319612590799033,13,0.001311541565778854
template_action_context,list_directory,4329,55,0.012705012705012704,40,0.00924000924000924
template_action_context,glob_pattern,5284,19,0.003595760787282362,19,0.003595760787282362
template_action_context,edit_file,11171,0,0.0,0,0.0
template_action_context,write_file,1481,0,0.0,0,0.0
template_action_context,apply_patch,4823,0,0.0,0,0.0
template_action_context,run_bash,5068,1,0.0001973164956590371,0,0.0
template_action_context,run_tests,4561,1,0.00021925016443762334,0,0.0
template_action_context,lint_or_typecheck,2283,1,0.0004380201489268506,1,0.0004380201489268506
template_action_context,ask_user,2701,49,0.01814142910033321,3,0.0011106997408367272
template_action_context,plan_task,2679,43,0.01605076521089959,35,0.013064576334453154
template_action_context,web_search,1273,9,0.007069913589945012,9,0.007069913589945012
template_action_context,respond_only,5178,0,0.0,0,0.0
normalized_full_state,read_file,9257,0,0.0,0,0.0
normalized_full_state,grep_search,9912,0,0.0,0,0.0
normalized_full_state,list_directory,4329,0,0.0,0,0.0
normalized_full_state,glob_pattern,5284,0,0.0,0,0.0
normalized_full_state,edit_file,11171,0,0.0,0,0.0
normalized_full_state,write_file,1481,0,0.0,0,0.0
normalized_full_state,apply_patch,4823,0,0.0,0,0.0
normalized_full_state,run_bash,5068,0,0.0,0,0.0
normalized_full_state,run_tests,4561,0,0.0,0,0.0
normalized_full_state,lint_or_typecheck,2283,0,0.0,0,0.0
normalized_full_state,ask_user,2701,0,0.0,0,0.0
normalized_full_state,plan_task,2679,0,0.0,0,0.0
normalized_full_state,web_search,1273,0,0.0,0,0.0
normalized_full_state,respond_only,5178,0,0.0,0,0.0
exact_full_state,read_file,9257,0,0.0,0,0.0
exact_full_state,grep_search,9912,0,0.0,0,0.0
exact_full_state,list_directory,4329,0,0.0,0,0.0
exact_full_state,glob_pattern,5284,0,0.0,0,0.0
exact_full_state,edit_file,11171,0,0.0,0,0.0
exact_full_state,write_file,1481,0,0.0,0,0.0
exact_full_state,apply_patch,4823,0,0.0,0,0.0
exact_full_state,run_bash,5068,0,0.0,0,0.0
exact_full_state,run_tests,4561,0,0.0,0,0.0
exact_full_state,lint_or_typecheck,2283,0,0.0,0,0.0
exact_full_state,ask_user,2701,0,0.0,0,0.0
exact_full_state,plan_task,2679,0,0.0,0,0.0
exact_full_state,web_search,1273,0,0.0,0,0.0
exact_full_state,respond_only,5178,0,0.0,0,0.0
