label,label_id,samples,ratio
read_file,0,9257,0.13224285714285713
grep_search,1,9912,0.1416
list_directory,2,4329,0.061842857142857144
glob_pattern,3,5284,0.07548571428571428
edit_file,4,11171,0.15958571428571428
write_file,5,1481,0.021157142857142857
apply_patch,6,4823,0.0689
run_bash,7,5068,0.0724
run_tests,8,4561,0.06515714285714286
lint_or_typecheck,9,2283,0.032614285714285714
ask_user,10,2701,0.038585714285714286
plan_task,11,2679,0.038271428571428574
web_search,12,1273,0.018185714285714284
respond_only,13,5178,0.07397142857142858
